country,price,points,variety,winery,province,lat,lng
US,85,97,Cabernet Sauvignon,Abeja,Washington,46.08734896,-118.2255228
US,130,97,Cabernet Sauvignon,Alpha Omega,California,38.47070948,-122.4284246
Italy,125,97,Sangiovese,Altesino,Tuscany,43.10272554,11.49138268
Italy,115,97,Red Blend,Antinori,Tuscany,43.61275733,11.19130707
US,90,97,Pinot Noir,Arista,California,38.52421475,-122.8679891
US,120,97,Bordeaux-style Red Blend,Arkenstone,California,38.56499553,-122.463911
US,250,97,Cabernet Sauvignon,Au Sommet,California,38.44352341,-122.2425097
Italy,170,97,White Blend,Avignonesi,Tuscany,43.17419131,11.93445678
US,55,97,Cabernet Sauvignon,Betz Family,Washington,47.71924333,-122.1314005
US,60,97,Cabernet Sauvignon,Betz Family,Washington,47.71924333,-122.1314005
US,68,97,Cabernet Sauvignon,Betz Family,Washington,47.71924333,-122.1314005
US,85,97,Cabernet Sauvignon,Black Coyote,California,38.31977903,-122.2256801
US,90,97,Bordeaux-style Red Blend,Blackbird Vineyards,California,38.29946003,-122.2806237
Argentina,120,97,Malbec,Bodega Catena Zapata,Mendoza Province,-33.16668614,-68.9024718
Spain,88,97,Monastrell,Bodegas Guti�rrez de la Vega,Levante,39.6824,2.7168
Spain,250,97,Tempranillo,Bodegas Roda,Northern Spain,42.585859,-2.843271134
France,260,97,Champagne Blend,Bollinger,Champagne,49.07818462,3.9650023
US,275,97,Bordeaux-style Red Blend,BOND,California,38.5109751,-122.400027
US,55,97,Red Blend,Buty,Washington,46.08780245,-118.2698039
Australia,85,97,Muscat,Campbells,Victoria,-36.0608846,146.4359125
Australia,97,97,Muscat,Campbells,Victoria,-36.0608846,146.4359125
Australia,85,97,Tokay,Campbells,Victoria,-36.0608846,146.4359125
Italy,55,97,Sangiovese Grosso,Capanna,Tuscany,43.9834924,11.33687136
US,250,97,Cabernet Sauvignon,Cardinale,California,38.92189815,-119.2958656
Italy,79,97,Sangiovese Grosso,Casanova di Neri,Tuscany,43.0579881,11.52638883
Italy,80,97,Sangiovese Grosso,Casanova di Neri,Tuscany,43.0579881,11.52638883
Italy,180,97,Merlot,Castello di Ama,Tuscany,43.44227222,11.38822241
US,130,97,Cabernet Sauvignon,Caymus,California,38.47039817,-122.3943474
US,136,97,Cabernet Sauvignon,Caymus,California,38.47039817,-122.3943474
US,80,97,Cabernet Sauvignon,Cayuse,Oregon,45.96229531,-118.4233261
US,70,97,Syrah,Cayuse,Oregon,45.96229531,-118.4233261
US,85,97,Syrah,Cayuse,Oregon,45.96229531,-118.4233261
France,145,97,Bordeaux-style Red Blend,ChÃ¢teau Cos d'Estournel,Bordeaux,45.2315,-0.7727
France,90,97,Bordeaux-style Red Blend,ChÃ¢teau Figeac,Bordeaux,44.9135,-0.1903
France,330,97,Bordeaux-style Red Blend,ChÃ¢teau Haut-Brion,Bordeaux,44.8117,-0.5964
France,1100,97,Bordeaux-style Red Blend,ChÃ¢teau La Mission Haut-Brion,Bordeaux,44.8169,-0.6057
France,698,97,Bordeaux-style White Blend,ChÃ¢teau La Mission Haut-Brion,Bordeaux,44.8169,-0.6057
France,150,97,Bordeaux-style Red Blend,ChÃ¢teau LÃ©oville Las Cases,Bordeaux,45.1647,-0.7378
France,190,97,Bordeaux-style Red Blend,ChÃ¢teau LÃ©oville Las Cases,Bordeaux,45.1647,-0.7378
France,345,97,Bordeaux-style Red Blend,ChÃ¢teau Lafite Rothschild,Bordeaux,45.2258,-0.7716
France,660,97,Bordeaux-style Red Blend,ChÃ¢teau Latour,Bordeaux,42.7678,2.6601
France,300,97,Bordeaux-style Red Blend,ChÃ¢teau Margaux,Bordeaux,45.046,-0.6634
France,450,97,Bordeaux-style Red Blend,ChÃ¢teau Margaux,Bordeaux,45.046,-0.6634
France,90,97,Bordeaux-style White Blend,ChÃ¢teau Suduiraut,Bordeaux,44.5569,-0.3174
France,170,97,Bordeaux-style Red Blend,ChÃ¢teau Troplong Mondot,Bordeaux,44.8901,-0.1394
Australia,300,97,Muscadel,Chambers Rosewood Vineyards,Victoria,-36.04395429,146.4518399
US,120,97,Syrah,Charles Smith,Washington,47.6927088,-121.889555
US,85,97,Pinot Noir,Cobb,California,38.39782588,-122.9956279
US,140,97,Bordeaux-style Red Blend,Continuum,California,38.48371951,-122.3516986
US,175,97,Cabernet Sauvignon,Diamond Creek,California,38.56564614,-122.5717237
France,281,97,Pinot Noir,Domaine Bruno Clair,Burgundy,47.27268571,4.992398316
France,100,97,Bordeaux-style White Blend,Domaine de Chevalier,Bordeaux,44.72051243,-0.62955804
France,96,97,Syrah,Domaine Jamet,RhÃ´ne Valley,45.51654152,4.795032606
France,410,97,Chardonnay,Domaine Leflaive,Burgundy,46.38243825,4.800586439
France,430,97,Chardonnay,Domaine Leflaive,Burgundy,46.38243825,4.800586439
France,451,97,Chardonnay,Domaine Leflaive,Burgundy,46.38243825,4.800586439
France,550,97,Chardonnay,Domaine Leflaive,Burgundy,46.38243825,4.800586439
France,574,97,Chardonnay,Domaine Leflaive,Burgundy,46.38243825,4.800586439
France,269,97,Pinot Gris,Domaine Zind-Humbrecht,Alsace,48.08431564,7.297189002
Germany,250,97,Riesling,Dr. Pauly Bergweiler,Mosel-Saar-Ruwer,49.9153787,7.076114103
US,50,97,Chardonnay,Dutton-Goldfield,California,38.43796177,-122.8546855
Spain,150,97,Tinto Fino,Emilio Moro,Northern Spain,41.643583,-4.148166242
Spain,180,97,Tinto Fino,Emilio Moro,Northern Spain,41.643583,-4.148166242
US,42,97,Chardonnay,Failla,California,38.54902401,-122.4887117
US,60,97,Pinot Noir,Failla,California,38.54902401,-122.4887117
US,70,97,Pinot Noir,Failla,California,38.54902401,-122.4887117
Italy,100,97,Merlot,Fattoria Petrolo,Tuscany,43.47147682,11.57255227
US,70,97,Chardonnay,Flowers,California,38.56495179,-122.8705598
Italy,210,97,Nebbiolo,Gaja,Piedmont,44.72612919,8.081014048
Italy,215,97,Nebbiolo,Gaja,Piedmont,44.72612919,8.081014048
US,190,97,Cabernet Sauvignon,Gandona,California,38.48365694,-122.3542277
Germany,245,97,Riesling,Geh. Rat Dr. von Bassermann-Jordan,Pfalz,49.40865649,8.187311218
US,75,97,Pinot Noir,Goldeneye,California,39.05830256,-123.4301938
US,85,97,Cabernet Sauvignon,Goldschmidt,California,38.67399686,-122.9228972
US,150,97,Bordeaux-style Red Blend,Harlan Estate,California,38.42121153,-122.3987013
France,185,97,Champagne Blend,Henriot,Champagne,52.90459241,37.79277402
US,100,97,Cabernet Sauvignon,Hestan,California,38.40362137,-122.3606952
US,189,97,Sparkling Blend,Iron Horse,California,38.45692312,-122.897417
US,135,97,Cabernet Sauvignon,Janzen,California,38.46661863,-122.4241577
US,130,97,Cabernet Sauvignon,Jarvis,California,38.3555672,-122.2143398
US,150,97,Cabernet Sauvignon,JCB,California,38.40537104,-122.3443186
France,639,97,Pinot Noir,Joseph Drouhin,Burgundy,47.02609549,4.846734081
US,200,97,Bordeaux-style Red Blend,Joseph Phelps,California,38.50331256,-122.4249774
US,200,97,Bordeaux-style Red Blend,Joseph Phelps,California,38.50331256,-122.4249774
US,225,97,Cabernet Sauvignon,Joseph Phelps,California,38.50331256,-122.4249774
US,52,97,Pinot Noir,Joseph Swan Vineyards,California,38.48388036,-122.8469136
US,70,97,Syrah,K Vintners,Washington,46.08601174,-118.249623
US,65,97,Pinot Noir,Ken Wright,Oregon,45.29509004,-123.174571
US,125,97,Bordeaux-style Red Blend,Kendall-Jackson,California,38.50734388,-122.7699726
Austria,90,97,Chardonnay,Kracher,Burgenland,47.74538559,16.82944551
Austria,111,97,Chardonnay,Kracher,Burgenland,47.74538559,16.82944551
Austria,125,97,Scheurebe,Kracher,Burgenland,47.74538559,16.82944551
US,70,97,Cabernet Sauvignon,Krutz,California,38.47212396,-122.7396835
US,65,97,Cabernet Sauvignon,Lancaster,California,38.62625124,-122.7717756
Italy,130,97,Cabernet Franc,Le Macchiole,Tuscany,43.20830884,10.61385053
Italy,315,97,Merlot,Le Macchiole,Tuscany,43.20830884,10.61385053
Italy,160,97,Syrah,Le Macchiole,Tuscany,43.20830884,10.61385053
US,110,97,Cabernet Blend,Leonetti Cellar,Washington,46.0568156,-118.2927756
US,85,97,Cabernet Sauvignon,Leonetti Cellar,Washington,46.0568156,-118.2927756
US,88,97,Cabernet Sauvignon,Leonetti Cellar,Washington,46.0568156,-118.2927756
